province,district,year,AK PARTİ,ANADOLU PARTİSİ,ANAP,ATP,BBP,BTP,CHP,DEHAP,DP,DSP,DYP,EMEP,GENÇ PARTİ,HAK-PAR,HAP,HAS PARTİ,HDP,HEPAR,HKP,HÜDA PAR,HYP,İP,İYİ PARTİ,KP,LDP,MEP,MHP,MİLLET PARTİSİ,MMP,ÖDP,SAADET PARTİSİ,TKP,TURK PARTİ,VATAN PARTİSİ,YTP,YURT-P,CUMHUR İTTİFAKI ,MİLLET İTTİFAKI ,BĞMZ
ADANA,,,48.6,-,-,-,-,-,16.5,-,-,-,-,-,-,-,-,-,2.4,-,-,0.2,-,-,14.3,-,-,-,14.8,-,-,-,1.4,-,-,0.2,-,-,1.5,0.2,0.0
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (1 Kasım), 9 008,-,-,-,  79,  20, 3 092,-,  28,  9,-,-,-,  54,-,-,  285,-,  48,-,-,-,-,  6,  7,-, 4 143,  6,-,-,  169,-,-,  14,-,-,-,-,-
ADANA,,,53.1,-,-,-,0.5,0.1,18.2,-,0.2,0.1,-,-,-,0.3,-,-,1.7,-,0.3,-,-,-,-,0.0,0.0,-,24.4,0.0,-,-,1.0,-,-,0.1,-,-,-,-,-
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2015 (7 Haziran), 7 547,  4,-,-,-,  21, 3 643,-,  49,  25,  8,-,-,  21,-,-,  389,-,  31,-,-,-,-,  4,  22,  11, 4 197,  4,-,-,  361,-,  61,  15,-,-,-,-,  24
ADANA,,,45.9,0.0,-,-,-,0.1,22.2,-,0.3,0.2,0.0,-,-,0.1,-,-,2.4,-,0.2,-,-,-,-,0.0,0.1,0.1,25.5,0.0,-,-,2.2,-,0.4,0.1,-,-,-,-,0.1
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2011, 7 887,-,-,-,  101,-, 3 354,-,  112,  34,  51,-,-,-,-,  150,-,  23,-,-,-,-,-,-,  5,-, 5 215,  25,  25,-,  245,  12,-,-,-,-,-,-,  121
ADANA,,,45.4,-,-,-,0.6,-,19.3,-,0.6,0.2,0.3,-,-,-,-,0.9,-,0.1,-,-,-,-,-,-,0.0,-,30.0,0.1,0.1,-,1.4,0.1,-,-,-,-,-,-,0.7
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2007, 6 486,-,-,-,-,  52, 1 893,-, 1 969,-,-,-,  309,-,-,-,-,-,-,-,  80,  42,-,-,-,-, 5 407,-,-,  25,  282,  30,-,-,-,-,-,-,  79
ADANA,,,38.9,-,-,-,-,0.3,11.4,-,11.8,-,-,-,1.9,-,-,-,-,-,-,-,0.5,0.3,-,-,-,-,32.5,-,-,0.2,1.7,0.2,-,-,-,-,-,-,0.5
ADANA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANA,,2002, 5 818,-, 1 000,-,  197,  47, 1 952,  212,-,  217, 3 530,-,  941,-,-,-,-,-,-,-,-,  44,-,-,  26,-, 2 610,  40,-,  15,  197,  13,-,-,  70,  67,-,-,  3
